iter	Passed	Remaining
0	4	4525
1	7	3910
2	11	3836
3	15	3909
4	19	3835
5	22	3764
6	26	3720
7	29	3714
8	34	3752
9	37	3715
10	41	3691
11	44	3685
12	48	3717
13	52	3693
14	56	3689
15	59	3673
16	64	3703
17	67	3678
18	70	3657
19	74	3649
20	77	3631
21	82	3656
22	86	3659
23	90	3671
24	94	3667
25	98	3685
26	101	3672
27	105	3670
28	109	3663
29	113	3674
30	117	3667
31	120	3658
32	124	3650
33	129	3674
34	132	3663
35	136	3664
36	140	3653
37	144	3659
38	148	3647
39	151	3644
40	155	3634
41	159	3629
42	162	3626
43	166	3621
44	170	3614
45	173	3606
46	178	3618
47	181	3609
48	185	3601
49	188	3588
50	193	3596
51	197	3593
52	201	3591
53	204	3585
54	208	3589
55	213	3594
56	217	3592
57	220	3587
58	225	3594
59	228	3586
60	232	3580
61	236	3575
62	240	3579
63	244	3576
64	248	3574
65	252	3570
66	257	3583
67	261	3580
68	265	3575
69	268	3573
70	273	3577
71	276	3566
72	280	3560
73	283	3551
74	288	3558
75	292	3554
76	296	3549
77	299	3543
78	303	3540
79	307	3536
80	310	3528
81	314	3524
82	318	3519
83	322	3519
84	326	3511
85	329	3504
86	333	3497
87	337	3499
88	341	3494
89	345	3491
90	349	3487
91	353	3490
92	357	3484
93	361	3481
94	365	3477
95	369	3477
96	372	3471
97	376	3465
98	380	3460
99	384	3460
100	388	3458
101	392	3457
102	396	3455
103	401	3462
104	406	3464
105	410	3458
106	413	3451
107	417	3449
108	421	3444
109	424	3436
110	428	3428
111	431	3423
112	435	3419
113	439	3411
114	442	3406
115	446	3400
116	451	3404
117	454	3399
118	458	3396
119	462	3390
120	467	3393
121	470	3388
122	474	3383
123	478	3377
124	482	3378
125	486	3371
126	489	3368
127	493	3360
128	498	3363
129	502	3359
130	506	3356
131	509	3351
132	514	3356
133	518	3352
134	522	3348
135	526	3345
136	531	3346
137	535	3341
138	538	3336
139	542	3333
140	546	3331
141	550	3328
142	554	3325
143	558	3321
144	563	3321
145	566	3316
146	571	3313
147	575	3310
148	579	3310
149	583	3307
150	587	3305
151	591	3300
152	596	3300
153	599	3295
154	603	3291
155	607	3287
156	612	3288
157	616	3285
158	620	3283
159	624	3280
160	629	3277
161	633	3274
162	636	3270
163	640	3267
164	644	3263
165	648	3260
166	652	3255
167	657	3253
168	661	3251
169	664	3245
170	668	3241
171	673	3240
172	677	3237
173	681	3233
174	685	3230
175	689	3229
176	693	3225
177	697	3221
178	701	3218
179	706	3218
180	710	3215
181	714	3212
182	718	3207
183	723	3206
184	726	3202
185	730	3197
186	734	3193
187	739	3193
188	743	3188
189	747	3184
190	751	3181
191	755	3180
192	759	3175
193	763	3171
194	766	3165
195	771	3163
196	774	3157
197	778	3151
198	781	3146
199	785	3142
200	789	3137
201	792	3131
202	796	3126
203	800	3124
204	805	3122
205	808	3117
206	812	3114
207	816	3108
208	820	3105
209	823	3099
210	827	3094
211	831	3090
212	835	3088
213	839	3083
214	843	3078
215	846	3073
216	851	3071
217	854	3066
218	858	3062
219	862	3058
220	866	3055
221	870	3049
222	874	3046
223	877	3040
224	882	3038
225	885	3034
226	889	3029
227	893	3024
228	896	3019
229	900	3015
230	904	3010
231	907	3004
232	911	2999
233	915	2997
234	919	2992
235	922	2987
236	926	2982
237	931	2981
238	935	2977
239	938	2973
240	942	2968
241	948	2970
242	952	2968
243	956	2964
244	960	2961
245	965	2958
246	969	2954
247	972	2949
248	976	2945
249	980	2941
250	984	2937
251	988	2932
252	992	2929
253	996	2925
254	999	2919
255	1003	2915
256	1007	2911
257	1011	2909
258	1015	2905
259	1019	2901
260	1023	2897
261	1027	2894
262	1031	2890
263	1034	2885
264	1038	2880
265	1043	2878
266	1046	2874
267	1050	2869
268	1054	2865
269	1059	2863
270	1063	2860
271	1066	2855
272	1070	2850
273	1074	2848
274	1078	2844
275	1082	2839
276	1086	2835
277	1090	2833
278	1094	2828
279	1098	2823
280	1101	2818
281	1107	2819
282	1111	2815
283	1115	2811
284	1119	2807
285	1123	2804
286	1126	2799
287	1131	2796
288	1134	2792
289	1139	2790
290	1143	2786
291	1147	2781
292	1151	2777
293	1155	2775
294	1159	2770
295	1162	2765
296	1166	2760
297	1170	2757
298	1175	2754
299	1179	2751
300	1182	2746
301	1186	2743
302	1190	2739
303	1194	2734
304	1197	2729
305	1202	2726
306	1206	2722
307	1209	2717
308	1213	2712
309	1216	2707
310	1221	2705
311	1224	2700
312	1228	2696
313	1231	2691
314	1236	2689
315	1240	2685
316	1243	2680
317	1247	2675
318	1252	2672
319	1255	2668
320	1259	2663
321	1262	2658
322	1267	2656
323	1270	2651
324	1274	2646
325	1278	2642
326	1282	2639
327	1286	2635
328	1289	2630
329	1293	2626
330	1297	2621
331	1301	2618
332	1304	2613
333	1308	2609
334	1313	2607
335	1317	2603
336	1321	2599
337	1325	2595
338	1328	2590
339	1333	2588
340	1337	2584
341	1341	2580
342	1345	2576
343	1349	2573
344	1352	2568
345	1356	2564
346	1360	2559
347	1364	2556
348	1368	2552
349	1372	2548
350	1375	2543
351	1379	2540
352	1383	2535
353	1386	2530
354	1390	2526
355	1394	2522
356	1398	2518
357	1402	2514
358	1405	2509
359	1409	2505
360	1413	2502
361	1417	2497
362	1420	2493
363	1424	2488
364	1428	2485
365	1432	2481
366	1436	2477
367	1439	2472
368	1443	2468
369	1447	2464
370	1451	2460
371	1454	2455
372	1458	2451
373	1462	2447
374	1466	2443
375	1469	2439
376	1473	2435
377	1477	2431
378	1481	2427
379	1484	2422
380	1488	2417
381	1493	2415
382	1496	2410
383	1500	2406
384	1503	2401
385	1508	2398
386	1511	2394
387	1515	2389
388	1518	2385
389	1523	2383
390	1527	2379
391	1532	2376
392	1536	2373
393	1545	2377
394	1550	2374
395	1555	2371
396	1559	2368
397	1563	2364
398	1567	2361
399	1573	2359
400	1576	2355
401	1580	2351
402	1584	2347
403	1589	2344
404	1593	2340
405	1596	2336
406	1600	2332
407	1605	2329
408	1609	2325
409	1613	2321
410	1617	2317
411	1621	2314
412	1625	2311
413	1629	2306
414	1633	2302
415	1639	2302
416	1644	2299
417	1649	2296
418	1654	2293
419	1658	2290
420	1662	2286
421	1666	2282
422	1670	2279
423	1674	2275
424	1678	2271
425	1682	2267
426	1687	2265
427	1691	2261
428	1695	2257
429	1701	2255
430	1705	2251
431	1709	2247
432	1713	2243
433	1718	2240
434	1722	2237
435	1726	2233
436	1731	2230
437	1737	2228
438	1742	2226
439	1746	2222
440	1750	2219
441	1754	2215
442	1758	2211
443	1763	2207
444	1767	2204
445	1771	2200
446	1775	2196
447	1779	2192
448	1783	2188
449	1787	2184
450	1791	2180
451	1795	2176
452	1800	2173
453	1804	2169
454	1808	2165
455	1813	2163
456	1817	2160
457	1821	2156
458	1826	2152
459	1831	2149
460	1835	2145
461	1838	2141
462	1842	2137
463	1846	2133
464	1850	2129
465	1854	2125
466	1858	2120
467	1862	2117
468	1866	2113
469	1870	2109
470	1874	2104
471	1878	2101
472	1882	2096
473	1885	2092
474	1889	2088
475	1893	2084
476	1897	2080
477	1900	2075
478	1904	2071
479	1908	2067
480	1912	2063
481	1915	2059
482	1919	2054
483	1923	2050
484	1928	2047
485	1931	2043
486	1935	2038
487	1939	2034
488	1944	2031
489	1947	2027
490	1951	2023
491	1956	2020
492	1961	2016
493	1965	2012
494	1969	2008
495	1973	2005
496	1977	2001
497	1981	1997
498	1985	1993
499	1989	1989
500	1993	1985
501	1997	1981
502	2000	1976
503	2004	1972
504	2008	1968
505	2012	1964
506	2016	1960
507	2019	1956
508	2023	1952
509	2027	1948
510	2031	1943
511	2034	1939
512	2039	1935
513	2043	1931
514	2046	1927
515	2050	1923
516	2055	1919
517	2058	1915
518	2062	1911
519	2066	1907
520	2070	1903
521	2073	1899
522	2077	1895
523	2081	1890
524	2085	1886
525	2089	1882
526	2093	1878
527	2096	1874
528	2100	1870
529	2104	1866
530	2108	1862
531	2112	1858
532	2116	1854
533	2120	1850
534	2124	1846
535	2128	1842
536	2132	1838
537	2136	1834
538	2140	1830
539	2144	1826
540	2148	1822
541	2153	1819
542	2157	1815
543	2161	1811
544	2166	1808
545	2170	1804
546	2174	1800
547	2179	1797
548	2183	1793
549	2187	1790
550	2191	1786
551	2195	1781
552	2200	1778
553	2204	1774
554	2207	1770
555	2211	1765
556	2216	1762
557	2220	1758
558	2223	1754
559	2227	1750
560	2232	1746
561	2235	1742
562	2239	1738
563	2243	1734
564	2247	1730
565	2251	1726
566	2255	1722
567	2259	1718
568	2264	1715
569	2267	1710
570	2271	1706
571	2275	1702
572	2279	1698
573	2283	1694
574	2287	1690
575	2291	1686
576	2296	1683
577	2299	1678
578	2303	1675
579	2307	1671
580	2312	1667
581	2315	1663
582	2319	1659
583	2323	1655
584	2327	1651
585	2331	1647
586	2335	1643
587	2339	1639
588	2343	1635
589	2347	1631
590	2351	1627
591	2354	1622
592	2358	1619
593	2363	1615
594	2367	1611
595	2370	1607
596	2375	1603
597	2379	1599
598	2382	1595
599	2386	1591
600	2390	1587
601	2394	1583
602	2398	1578
603	2401	1574
604	2405	1570
605	2409	1566
606	2413	1562
607	2416	1558
608	2420	1554
609	2425	1550
610	2429	1546
611	2433	1542
612	2436	1538
613	2441	1534
614	2444	1530
615	2448	1526
616	2452	1522
617	2456	1518
618	2460	1514
619	2464	1510
620	2468	1506
621	2473	1503
622	2477	1499
623	2480	1494
624	2484	1490
625	2488	1486
626	2492	1482
627	2496	1478
628	2499	1474
629	2503	1470
630	2507	1466
631	2511	1462
632	2514	1457
633	2518	1453
634	2522	1449
635	2525	1445
636	2529	1441
637	2532	1436
638	2536	1433
639	2539	1428
640	2543	1424
641	2546	1420
642	2551	1416
643	2555	1412
644	2559	1408
645	2563	1404
646	2567	1400
647	2571	1396
648	2574	1392
649	2578	1388
650	2582	1384
651	2586	1380
652	2590	1376
653	2593	1372
654	2596	1367
655	2601	1364
656	2604	1359
